RowNumber,variable,label
480,sc_2021_betweenness_r1500_f_3-2_300_max,Maximum value of angular betweenness centrality (radius 1500m) within street network based distance of 300m.
481,sc_2021_betweenness_r2000_f_3-2_300_max,Maximum value of angular betweenness centrality (radius 2000m) within street network based distance of 300m.
482,sc_2021_closeness_r500_f_3-2_300_max,Maximum value of angular closeness centrality (radius 500m) within street network based distance of 300m.
483,sc_2021_closeness_r1000_f_3-2_300_max,Maximum value of angular closeness centrality (radius 1000m) within street network based distance of 300m.
484,sc_2021_closeness_r1500_f_3-2_300_max,Maximum value of angular closeness centrality (radius 1500m) within street network based distance of 300m.
485,sc_2021_closeness_r2000_f_3-2_300_max,Maximum value of angular closeness centrality (radius 2000m) within street network based distance of 300m.
486,sc_2021_betweenness_r500_f_3-2_300_mean,Average value of angular betweenness centrality (radius 500m) within street network based distance of 300m.
487,sc_2021_betweenness_r1000_f_3-2_300_mean,Average value of angular betweenness centrality (radius 1000m) within street network based distance of 300m.
488,sc_2021_betweenness_r1500_f_3-2_300_mean,Average value of angular betweenness centrality (radius 1500m) within street network based distance of 300m.
489,sc_2021_betweenness_r2000_f_3-2_300_mean,Average value of angular betweenness centrality (radius 2000m) within street network based distance of 300m.
490,sc_2021_closeness_r500_f_3-2_300_mean,Average value of angular closeness centrality (radius 500m) within street network based distance of 300m.
491,sc_2021_closeness_r1000_f_3-2_300_mean,Average value of angular closeness centrality (radius 1000m) within street network based distance of 300m.
492,sc_2021_closeness_r1500_f_3-2_300_mean,Average value of angular closeness centrality (radius 1500m) within street network based distance of 300m.
493,sc_2021_closeness_r2000_f_3-2_300_mean,Average value of angular closeness centrality (radius 2000m) within street network based distance of 300m.
494,sc_2021_betweenness_r500_b_3-2,Angular betweenness centrality (radius 500m) at the residential street.
495,sc_2021_betweenness_r1000_b_3-2,Angular betweenness centrality (radius 1000m) at the residential street.
496,sc_2021_betweenness_r1500_b_3-2,Angular betweenness centrality (radius 1500m) at the residential street.
497,sc_2021_betweenness_r2000_b_3-2,Angular betweenness centrality (radius 2000m) at the residential street.
498,sc_2021_closeness_r500_b_3-2,Angular closeness centrality (radius 500m) at the residential street.
499,sc_2021_closeness_r1000_b_3-2,Angular closeness centrality (radius 1000m) at the residential street.
500,sc_2021_closeness_r1500_b_3-2,Angular closeness centrality (radius 1500m) at the residential street.
501,sc_2021_closeness_r2000_b_3-2,Angular closeness centrality (radius 2000m) at the residential street.
502,sc_2021_distance_300_mean,Average distance to street segments in meters within street network based distance of 300m.
503,wa_2019_walkability_g_1_100_mean,Average walkability within 100m circular buffer around the home address.
504,wa_2019_walkability_g_1_300_mean,Average intensity of lande-uses (Shannonâ€™s Diversity Index) within 300m circular buffer around the home address.
505,wa_2019_walkability_g_1_500_mean,Average intensity of lande-uses (Shannonâ€™s Diversity Index) within 500m circular buffer around the home address.
506,wa_2019_walkability_g_1_1000_mean,Average intensity of lande-uses (Shannonâ€™s Diversity Index) within 1000m circular buffer around the home address.
507,wa_2019_walkability_g_1_1500_mean,Average intensity of lande-uses (Shannonâ€™s Diversity Index) within 1500m circular buffer around the home address.
508,wa_2019_walkability_g_1_2000_mean,Average intensity of lande-uses (Shannonâ€™s Diversity Index) within 2000m circular buffer around the home address.
